method,gw,formation,xi_points,captain_id,vice_id,n_truth_matched,n_candidates,budget_used,optimum_points,optimum_formation,optimum_captain_id,efficiency,notes,used_fallback
rf_optfill,33,4-5-1,63.0,234.0,233.0,11,15,90.3,136.0,3-5-2,233.0,0.4632352941176471,,False
rf_pos,33,3-5-2,42.0,251.0,96.0,11,14,838.0,136.0,3-5-2,233.0,0.3088235294117647,,
rf_rank,33,3-5-2,11.0,61.0,722.0,11,15,586.0,136.0,3-5-2,233.0,0.08088235294117647,,
ma3,33,5-4-1,38.0,251.0,359.0,11,15,81.60000000000001,136.0,3-5-2,233.0,0.27941176470588236,,
pos,33,3-5-2,12.0,7.0,726.0,11,15,42.0,136.0,3-5-2,233.0,0.08823529411764706,,
rf,34,3-5-2,54.0,357.0,256.0,11,15,102.8,136.0,3-4-3,263.0,0.39705882352941174,,
rf_relaxed,34,3-5-2,54.0,357.0,256.0,11,15,102.8,136.0,3-4-3,263.0,0.39705882352941174,,
rf_optfill,34,3-5-2,54.0,357.0,256.0,11,15,102.8,136.0,3-4-3,263.0,0.39705882352941174,,False
rf_pos,34,3-5-2,42.0,26.0,112.0,11,15,649.0,136.0,3-4-3,263.0,0.3088235294117647,,
rf_rank,34,5-4-1,20.0,219.0,58.0,11,15,529.0,136.0,3-4-3,263.0,0.14705882352941177,,
ma3,34,3-5-2,37.0,359.0,96.0,11,15,85.89999999999999,136.0,3-4-3,263.0,0.27205882352941174,,
pos,34,3-5-2,11.0,728.0,727.0,11,15,49.79999999999999,136.0,3-4-3,263.0,0.08088235294117647,,
rf,35,3-5-2,35.0,233.0,357.0,11,15,86.8,130.0,4-5-1,359.0,0.2692307692307692,,
rf_relaxed,35,3-5-2,29.0,233.0,357.0,11,15,84.3,130.0,4-5-1,359.0,0.2230769230769231,,
rf_optfill,35,3-5-2,35.0,233.0,357.0,11,15,86.8,130.0,4-5-1,359.0,0.2692307692307692,,False
rf_pos,35,3-5-2,46.0,154.0,112.0,11,15,716.0,130.0,4-5-1,359.0,0.35384615384615387,,
rf_rank,35,5-4-1,24.0,409.0,677.0,11,15,620.0,130.0,4-5-1,359.0,0.18461538461538463,,
ma3,35,3-5-2,61.0,359.0,233.0,11,15,83.79999999999998,130.0,4-5-1,359.0,0.46923076923076923,,
pos,35,3-5-2,3.0,32.0,730.0,11,15,44.99999999999999,130.0,4-5-1,359.0,0.023076923076923078,,
rf,36,3-4-3,56.0,233.0,579.0,11,15,100.4,160.0,3-5-2,251.0,0.35,,
rf_relaxed,36,3-4-3,56.0,233.0,579.0,11,15,100.4,160.0,3-5-2,251.0,0.35,,
rf_optfill,36,3-4-3,56.0,233.0,579.0,11,15,100.4,160.0,3-5-2,251.0,0.35,,False
rf_pos,36,3-5-2,47.0,96.0,69.0,11,15,792.0,160.0,3-5-2,251.0,0.29375,,
rf_rank,36,5-4-1,16.0,415.0,286.0,11,15,606.0,160.0,3-5-2,251.0,0.1,,
ma3,36,3-5-2,64.0,263.0,233.0,11,15,94.9,160.0,3-5-2,251.0,0.4,,
pos,36,3-5-2,10.0,734.0,733.0,11,15,41.5,160.0,3-5-2,251.0,0.0625,,
rf,37,3-5-2,35.0,359.0,143.0,11,15,92.7,,,,,,
rf_relaxed,37,3-5-2,35.0,359.0,143.0,11,15,92.7,,,,,,
rf_optfill,37,3-5-2,35.0,359.0,143.0,11,15,92.7,,,,,,False
rf_pos,37,,0.0,,,0,0,0.0,,,,,Selection failed,
rf_rank,37,,0.0,,,0,0,0.0,,,,,Selection failed,
ma3,37,3-5-2,24.0,263.0,234.0,11,15,78.4,,,,,,
pos,37,4-5-1,7.0,22.0,32.0,11,15,43.0,,,,,,
rf,38,3-5-2,61.0,233.0,359.0,11,15,84.3,135.0,3-5-2,701.0,0.45185185185185184,,
rf_relaxed,38,3-5-2,61.0,233.0,359.0,11,15,84.3,135.0,3-5-2,701.0,0.45185185185185184,,
rf_optfill,38,3-5-2,61.0,233.0,359.0,11,15,84.3,135.0,3-5-2,701.0,0.45185185185185184,,False
rf_pos,38,3-5-2,56.0,270.0,524.0,11,14,836.0,135.0,3-5-2,701.0,0.4148148148148148,,
rf_rank,38,5-4-1,5.0,510.0,415.0,11,15,521.0,135.0,3-5-2,701.0,0.037037037037037035,,
ma3,38,3-4-3,79.0,359.0,251.0,11,15,84.3,135.0,3-5-2,701.0,0.5851851851851851,,
pos,38,3-5-2,43.0,737.0,698.0,11,15,49.00000000000001,135.0,3-5-2,701.0,0.31851851851851853,,
