name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,player_id,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,gw,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,points,transfers_balance,transfers_in,transfers_out,price,was_home,winning_goals,yellow_cards,GW,season,pos,team,xP,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
Daniel Iversen,0,,,,0,0,0,,,0.0,,,548,,,53,,0,0,0.0,,0.0,,2022-09-04T13:00:00Z,,,,0,,,5,0,,0,0,,0,6,0,307912,,,,2.0,5.0,0.0,0,43476,65513,22037,39,False,,0,6,2022-23,GK,Leicester,0.0,0.0,0.0,0.0,0.0,0.0
Steven Bergwijn,0,,,,0,0,0,,,0.0,,,437,,,59,,0,0,0.0,,0.0,,2022-09-03T14:00:00Z,,,,0,,,9,0,,0,0,,0,6,0,183,,,,1.0,2.0,0.0,0,-8,0,8,55,True,,0,6,2022-23,MID,Spurs,0.0,0.0,0.0,0.0,0.0,0.0
Saman Ghoddos,0,,,,0,0,0,,,0.0,,,87,,,52,,0,0,0.0,,0.0,,2022-09-03T14:00:00Z,,,,0,,,11,0,,0,0,,0,6,0,2460,,,,2.0,5.0,0.0,0,-123,103,226,49,True,,0,6,2022-23,MID,Brentford,0.9,0.0,0.0,0.0,0.0,0.0
Arthur Henrique Ramos de Oliveira Melo,0,,,,0,0,0,,,0.0,,,620,,,55,,0,0,0.0,,0.0,,2022-09-03T11:30:00Z,,,,0,,,8,0,,0,0,,0,6,0,2109,,,,0.0,0.0,0.0,0,1728,2217,489,50,False,,0,6,2022-23,MID,Liverpool,0.7,0.0,0.0,0.0,0.0,0.0
Connor Ronan,0,,,,0,0,0,,,0.0,,,567,,,60,,0,0,0.0,,0.0,,2022-09-03T14:00:00Z,,,,0,,,17,0,,0,0,,0,6,0,17825,,,,0.0,1.0,0.0,0,5662,8290,2628,44,True,,0,6,2022-23,MID,Wolves,0.0,0.0,0.0,0.0,0.0,0.0
Aymeric Laporte,0,,,,0,0,0,,,0.0,,,309,,,51,,0,0,0.0,,0.0,,2022-09-03T16:30:00Z,,,,0,,,2,0,,0,0,,0,6,0,27186,,,,1.0,1.0,0.0,0,-2488,168,2656,59,False,,0,6,2022-23,DEF,Man City,0.0,0.0,0.0,0.0,0.0,0.0
Antony Matheus dos Santos,0,,,,0,18,0,,,1.6,,,609,,,56,,0,1,6.5,,38.4,,2022-09-04T15:30:00Z,,,,57,,,1,0,,0,0,,0,6,0,106719,,,,1.0,3.0,25.0,6,93207,104377,11170,75,True,,0,6,2022-23,MID,Man Utd,2.6,0.0,0.0,0.0,0.0,0.0
Joelinton Cássio Apolinário de Lira,0,,,,0,10,1,,,29.1,,,371,,,57,,0,0,12.3,,14.6,,2022-09-03T14:00:00Z,,,,90,,,7,0,,0,0,,0,6,0,69142,,,,0.0,0.0,79.0,3,6325,14100,7775,60,True,,0,6,2022-23,MID,Newcastle,2.0,0.0,0.0,0.0,0.0,0.0
Joseph Hodge,0,,,,0,0,0,,,0.0,,,566,,,60,,0,0,0.0,,0.0,,2022-09-03T14:00:00Z,,,,0,,,17,0,,0,0,,0,6,0,3984,,,,0.0,1.0,0.0,0,127,599,472,44,True,,0,6,2022-23,MID,Wolves,0.0,0.0,0.0,0.0,0.0,0.0
Alex Iwobi,0,,,,0,11,1,,,14.3,,,186,,,55,,0,0,2.8,,10.6,,2022-09-03T11:30:00Z,,,,90,,,12,0,,0,0,,0,6,0,21859,,,,0.0,0.0,3.0,3,538,2661,2123,55,True,,0,6,2022-23,MID,Everton,1.6,0.0,0.0,0.0,0.0,0.0
