id,web_name,first_name,second_name,element_type,position,team_id,team_name,team_short,now_cost,status,chance_of_playing_next_round,selected_by_percent,form,points_per_game,influence,creativity,threat,ict_index
214,Trésor,Mike,Trésor Ndayishimiye,3,MID,3,Burnley,BUR,4.5,a,,0.1,0.0,0.0,0.0,0.0,0.0,0.0
215,Flemming,Zian,Flemming,4,FWD,3,Burnley,BUR,5.5,a,,0.2,1.0,1.0,0.0,0.0,0.0,0.0
216,Amdouni,Zeki,Amdouni,4,FWD,3,Burnley,BUR,5.0,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,Foster,Lyle,Foster,4,FWD,3,Burnley,BUR,5.0,a,,0.5,2.0,2.0,4.8,22.7,10.0,3.8
218,Barnes,Ashley,Barnes,4,FWD,3,Burnley,BUR,4.5,a,,2.4,0.0,0.0,0.0,0.0,0.0,0.0
219,Obafemi,Michael,Obafemi,4,FWD,3,Burnley,BUR,4.5,a,,0.4,0.0,0.0,0.0,0.0,0.0,0.0
470,Dúbravka,Martin,Dúbravka,1,GK,3,Burnley,BUR,4.0,a,100.0,34.6,2.0,2.0,25.6,0.0,0.0,2.6
676,Ugochukwu,Lesley,Ugochukwu,3,MID,3,Burnley,BUR,5.0,a,100.0,0.0,1.0,1.0,0.0,0.3,3.0,0.1
680,Broja,Armando,Broja,4,FWD,3,Burnley,BUR,5.5,a,100.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
66,Neto,Norberto,Murara Neto,1,GK,4,Bournemouth,BOU,4.5,u,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
67,Petrović,Đorđe,Petrović,1,GK,4,Bournemouth,BOU,4.5,a,,3.5,2.0,2.0,47.8,0.0,0.0,4.8
68,Dennis,Will,Dennis,1,GK,4,Bournemouth,BOU,4.0,a,,1.1,0.0,0.0,0.0,0.0,0.0,0.0
69,McKenna,Callan,McKenna,1,GK,4,Bournemouth,BOU,4.0,a,,0.2,0.0,0.0,0.0,0.0,0.0,0.0
70,Paulsen,Alex,Paulsen,1,GK,4,Bournemouth,BOU,4.0,a,,0.1,0.0,0.0,0.0,0.0,0.0,0.0
71,Zabarnyi,Illia,Zabarnyi,2,DEF,4,Bournemouth,BOU,5.0,u,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
72,Senesi,Marcos,Senesi Barón,2,DEF,4,Bournemouth,BOU,4.5,a,,1.1,2.0,2.0,26.6,14.6,2.0,4.3
73,Smith,Adam,Smith,2,DEF,4,Bournemouth,BOU,4.5,a,,0.4,1.0,1.0,12.2,10.5,4.0,2.7
74,Truffert,Adrien,Truffert,2,DEF,4,Bournemouth,BOU,4.5,a,,0.8,0.0,0.0,18.2,19.1,0.0,3.7
75,Akinmboni,Matai,Akinmboni,2,DEF,4,Bournemouth,BOU,4.0,a,,0.3,0.0,0.0,0.0,0.0,0.0,0.0
76,Bevan,Owen,Bevan,2,DEF,4,Bournemouth,BOU,4.0,a,,0.2,0.0,0.0,0.0,0.0,0.0,0.0
77,Hill,James,Hill,2,DEF,4,Bournemouth,BOU,4.0,a,,0.8,1.0,1.0,3.0,0.1,0.0,0.3
78,J.Araujo,Julián,Araujo Zúñiga,2,DEF,4,Bournemouth,BOU,4.0,a,,1.3,0.0,0.0,0.0,0.0,0.0,0.0
79,Mepham,Chris,Mepham,2,DEF,4,Bournemouth,BOU,4.0,a,,0.2,0.0,0.0,0.0,0.0,0.0,0.0
80,Soler,Julio,Soler Barreto,2,DEF,4,Bournemouth,BOU,4.0,a,,0.3,0.0,0.0,0.0,0.0,0.0,0.0
81,Kluivert,Justin,Kluivert,3,MID,4,Bournemouth,BOU,7.0,i,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
82,Semenyo,Antoine,Semenyo,3,MID,4,Bournemouth,BOU,7.1,a,,12.3,15.0,15.0,66.4,1.3,32.0,10.0
84,Tavernier,Marcus,Tavernier,3,MID,4,Bournemouth,BOU,5.5,a,,0.5,4.0,4.0,24.6,14.1,33.0,7.2
85,Adams,Tyler,Adams,3,MID,4,Bournemouth,BOU,5.0,a,,0.3,4.0,4.0,21.6,1.7,4.0,2.7
86,Brooks,David,Brooks,3,MID,4,Bournemouth,BOU,5.0,a,,0.2,4.0,4.0,27.2,40.3,18.0,8.6
87,Christie,Ryan,Christie,3,MID,4,Bournemouth,BOU,5.0,i,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
88,Cook,Lewis,Cook,3,MID,4,Bournemouth,BOU,5.0,s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Philip,Philip,Billing,3,MID,4,Bournemouth,BOU,5.0,a,,0.1,0.0,0.0,0.0,0.0,0.0,0.0
90,Scott,Alex,Scott,3,MID,4,Bournemouth,BOU,5.0,a,,0.1,2.0,2.0,2.0,2.1,2.0,0.6
91,Sinisterra,Luis,Sinisterra Lucumí,3,MID,4,Bournemouth,BOU,5.0,d,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Faivre,Romain,Faivre,3,MID,4,Bournemouth,BOU,4.5,a,,0.2,0.0,0.0,0.0,0.0,0.0,0.0
93,H.Traorè,Hamed,Traorè,3,MID,4,Bournemouth,BOU,4.5,a,,1.0,4.0,4.0,21.2,10.0,0.0,3.1
94,Sadi,Dominic,Sadi,3,MID,4,Bournemouth,BOU,4.5,a,,0.1,0.0,0.0,0.0,0.0,0.0,0.0
95,Silcott-Duberry,Zain,Silcott-Duberry,3,MID,4,Bournemouth,BOU,4.5,a,,0.1,0.0,0.0,0.0,0.0,0.0,0.0
96,Winterburn,Ben,Winterburn,3,MID,4,Bournemouth,BOU,4.5,a,,0.1,1.0,1.0,0.0,0.0,0.0,0.0
97,Evanilson,Francisco Evanilson,de Lima Barbosa,4,FWD,4,Bournemouth,BOU,7.0,a,,2.2,1.0,1.0,0.0,0.6,17.0,1.6
98,Enes Ünal,Enes,Ünal,4,FWD,4,Bournemouth,BOU,5.5,i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,Adu-Adjei,Daniel,Adu-Adjei,4,FWD,4,Bournemouth,BOU,4.5,a,,0.3,0.0,0.0,0.0,0.0,0.0,0.0
100,Kroupi.Jr,Eli Junior,Kroupi,4,FWD,4,Bournemouth,BOU,4.5,a,,1.2,1.0,1.0,0.0,0.0,0.0,0.0
391,Doak,Ben,Doak,3,MID,4,Bournemouth,BOU,5.0,a,,0.1,0.0,0.0,0.0,0.0,0.0,0.0
685,Diakité,Bafodé,Diakité,2,DEF,4,Bournemouth,BOU,4.5,a,,0.2,0.0,0.0,14.8,0.2,0.0,1.5
687,Rees-Dottin,Remy,Rees-Dottin,3,MID,4,Bournemouth,BOU,4.5,a,,0.1,0.0,0.0,0.0,0.0,0.0,0.0
83,O.Dango,Dango,Ouattara,3,MID,5,Brentford,BRE,6.0,d,50.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
101,Kelleher,Caoimhín,Kelleher,1,GK,5,Brentford,BRE,4.5,a,100.0,10.5,1.0,1.0,11.8,0.0,0.0,1.2
102,Balcombe,Ellery,Balcombe,1,GK,5,Brentford,BRE,4.0,a,,0.3,0.0,0.0,0.0,0.0,0.0,0.0
103,Cox,Matthew,Cox,1,GK,5,Brentford,BRE,4.0,a,,0.2,0.0,0.0,0.0,0.0,0.0,0.0
104,Eyestone,Julian,Eyestone,1,GK,5,Brentford,BRE,4.0,a,,0.1,0.0,0.0,0.0,0.0,0.0,0.0
