name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,player_id,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,gw,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,points,transfers_balance,transfers_in,transfers_out,price,was_home,winning_goals,yellow_cards,GW,season,pos,team,xP,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts
Christian Pulisic,0,,,,0,0,0,,,0.0,,,213,,,325,,0,0,0.0,,0.0,,2024-04-15T19:00:00Z,,,,0,,,9,0,,0,0,,0,33,0,375,,,,0.0,6.0,0.0,0,-2,0,2,55,True,,0,33,2023-24,MID,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0
Adam Webster,0,,,,0,0,0,,,0.0,,,153,,,324,,0,0,0.0,,0.0,,2024-04-13T14:00:00Z,,,,0,,,6,0,,0,0,,0,33,0,15902,,,,1.0,1.0,0.0,0,-521,31,552,42,False,,0,33,2023-24,DEF,Brighton,0.0,0.0,0.0,0.0,0.0,0.0
Darwin Núñez Ribeiro,0,,,,0,3,0,,,8.4,,,293,,,326,,1,0,6.2,,8.6,,2024-04-14T13:00:00Z,,,,65,,,8,0,,0,0,,0,33,0,2225370,,,,1.0,0.0,45.0,2,92759,161314,68555,77,True,,0,33,2023-24,FWD,Liverpool,4.3,0.08,0.33,0.25,1.3,1.0
Axel Disasi,0,,,,0,0,0,,,0.0,,,611,,,325,,0,0,0.0,,0.0,,2024-04-15T19:00:00Z,,,,0,,,9,0,,0,0,,0,33,0,412176,,,,0.0,6.0,0.0,0,-19126,5968,25094,49,True,,0,33,2023-24,DEF,Chelsea,0.4,0.0,0.0,0.0,0.0,0.0
Enock Agyei,0,,,,0,0,0,,,0.0,,,156,,,324,,0,0,0.0,,0.0,,2024-04-13T14:00:00Z,,,,0,,,5,0,,0,0,,0,33,0,45595,,,,1.0,1.0,0.0,0,-792,1385,2177,42,True,,0,33,2023-24,MID,Burnley,-0.5,0.0,0.0,0.0,0.0,0.0
Folarin Balogun,0,,,,0,0,0,,,0.0,,,1,,,321,,0,0,0.0,,0.0,,2024-04-14T15:30:00Z,,,,0,,,2,0,,0,0,,0,33,0,19047,,,,2.0,0.0,0.0,0,-69,0,69,44,True,,0,33,2023-24,FWD,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0
Tyrone Mings,0,,,,0,0,0,,,0.0,,,51,,,321,,0,0,0.0,,0.0,,2024-04-14T15:30:00Z,,,,0,,,1,0,,0,0,,0,33,0,116278,,,,2.0,0.0,0.0,0,-335,49,384,41,False,,0,33,2023-24,DEF,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0
Nicolás Domínguez,0,,,,0,5,0,,,3.2,,,712,,,329,,0,0,0.8,,0.0,,2024-04-13T14:00:00Z,,,,24,,,20,0,,0,0,,0,33,0,3155,,,,2.0,2.0,6.0,1,-94,40,134,50,True,,0,33,2023-24,MID,Nott'm Forest,0.8,0.01,0.03,0.02,0.02,0.0
Conor Coventry,0,,,,0,0,0,,,0.0,,,529,,,330,,0,0,0.0,,0.0,,2024-04-14T13:00:00Z,,,,0,,,10,0,,0,0,,0,33,0,7153,,,,2.0,0.0,0.0,0,-53,0,53,43,True,,0,33,2023-24,MID,West Ham,0.0,0.0,0.0,0.0,0.0,0.0
Ismaila Coulibaly,0,,,,0,0,0,,,0.0,,,478,,,323,,0,0,0.0,,0.0,,2024-04-13T14:00:00Z,,,,0,,,4,0,,0,0,,0,33,0,3359,,,,0.0,2.0,0.0,0,-22,0,22,44,False,,0,33,2023-24,MID,Sheffield Utd,0.0,0.0,0.0,0.0,0.0,0.0
Josh Brownhill,0,,,,2,21,0,,,0.3,,,161,,,324,,1,1,6.9,,44.6,,2024-04-13T14:00:00Z,,,,23,,,5,0,,0,0,,0,33,0,18121,,,,1.0,1.0,24.0,8,-518,305,823,47,True,,0,33,2023-24,MID,Burnley,2.7,0.0,0.25,0.25,0.15,0.0
Fraser Forster,0,,,,0,0,0,,,0.0,,,498,,,328,,0,0,0.0,,0.0,,2024-04-13T11:30:00Z,,,,0,,,15,0,,0,0,,0,33,0,189265,,,,0.0,4.0,0.0,0,-1828,1078,2906,38,False,,0,33,2023-24,GK,Spurs,0.0,0.0,0.0,0.0,0.0,0.0
Jefferson Lerma Solís,0,,,,0,10,1,,,0.6,,,231,,,326,,0,0,2.3,,20.8,,2024-04-14T13:00:00Z,,,,90,,,11,0,,0,0,,0,33,0,10840,,,,1.0,0.0,2.0,2,-64,169,233,47,False,,1,33,2023-24,MID,Crystal Palace,1.5,0.0,0.0,0.0,2.87,1.0
Luke Freeman,0,,,,0,0,0,,,0.0,,,322,,,327,,0,0,0.0,,0.0,,2024-04-13T14:00:00Z,,,,0,,,13,0,,0,0,,0,33,0,835,,,,1.0,5.0,0.0,0,-2,0,2,49,False,,0,33,2023-24,MID,Luton,0.0,0.0,0.0,0.0,0.0,0.0
Lewis Dunk,0,,,,1,18,0,,,0.3,,,129,,,324,,1,0,1.5,,14.2,,2024-04-13T14:00:00Z,,,,90,,,6,0,,0,0,,0,33,0,628262,,,,1.0,1.0,0.0,3,19737,34540,14803,52,False,,0,33,2023-24,DEF,Brighton,3.5,0.01,0.01,0.0,1.7,1.0
César Azpilicueta,0,,,,0,0,0,,,0.0,,,189,,,325,,0,0,0.0,,0.0,,2024-04-15T19:00:00Z,,,,0,,,9,0,,0,0,,0,33,0,123,,,,0.0,6.0,0.0,0,0,0,0,45,True,,0,33,2023-24,DEF,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0
Marcelo de Araújo Pitaluga Filho,0,,,,0,0,0,,,0.0,,,756,,,326,,0,0,0.0,,0.0,,2024-04-14T13:00:00Z,,,,0,,,8,0,,0,0,,0,33,0,186,,,,1.0,0.0,0.0,0,-4,0,4,40,True,,0,33,2023-24,GK,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0
Lorenz Assignon,0,,,,0,10,0,,,16.8,,,805,,,324,,1,0,4.4,,20.4,,2024-04-13T14:00:00Z,,,,90,,,5,0,,0,0,,0,33,0,6291,,,,1.0,1.0,7.0,2,612,954,342,40,True,,0,33,2023-24,DEF,Burnley,-0.3,0.31,0.34,0.03,0.91,1.0
Steve Cook,0,,,,0,0,0,,,0.0,,,441,,,329,,0,0,0.0,,0.0,,2024-04-13T14:00:00Z,,,,0,,,20,0,,0,0,,0,33,0,1012,,,,2.0,2.0,0.0,0,-2,0,2,45,True,,0,33,2023-24,DEF,Nott'm Forest,0.0,0.0,0.0,0.0,0.0,0.0
Hjalmar Ekdal,0,,,,3,26,1,,,0.8,,,167,,,324,,0,0,2.2,,21.2,,2024-04-13T14:00:00Z,,,,66,,,5,0,,0,0,,0,33,0,14203,,,,1.0,1.0,0.0,9,144,337,193,39,True,,0,33,2023-24,DEF,Burnley,1.7,0.0,0.0,0.0,0.76,1.0
Alex Telles,0,,,,0,0,0,,,0.0,,,370,,,322,,0,0,0.0,,0.0,,2024-04-13T16:30:00Z,,,,0,,,3,0,,0,0,,0,33,0,518,,,,2.0,2.0,0.0,0,-1,0,1,45,False,,0,33,2023-24,DEF,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0
